bed,bath,square,city,year_built,home_type,price
1,1.0,800,Hoboken,0,None,2890
3,2.0,1500,Hoboken,0,None,4890
4,2.0,1654,Hoboken,0,None,4200
2,2.0,1200,Hoboken,0,None,3590
3,1.5,1423,Hoboken,0,None,2600
2,2.0,900,Hoboken,0,None,2900
2,2.0,1200,Hoboken,0,None,3790
1,1.0,733,Hoboken,0,None,1650
1,1.0,1012,Jersey City,0,None,3000
2,1.0,880,Hoboken,0,None,2550
1,1.0,733,Hoboken,0,None,2200
2,1.5,1006,Hoboken,0,None,2700
1,1.0,550,Hoboken,0,None,2150
1,1.0,560,Hoboken,0,None,2200
1,1.0,733,Hoboken,0,None,1400
0,1.0,640,Hoboken,0,None,2600
1,1.0,733,Hoboken,0,None,3000
1,1.0,733,Hoboken,0,None,2000
1,1.0,733,Hoboken,0,None,2100
1,1.0,700,Hoboken,0,None,1975
2,2.0,1006,Hoboken,0,None,2550
1,1.0,733,Hoboken,0,None,3300
2,2.0,1006,Hoboken,1,APARTMENT,3100
2,2.0,1103,Hoboken,1,MULTI_FAMILY,3450
2,2.0,1103,Hoboken,1900,APARTMENT,3450
2,2.0,1150,Hoboken,1,APARTMENT,3700
2,1.0,900,Hoboken,1,APARTMENT,2000
1,1.0,600,Hoboken,1,APARTMENT,1750
1,1.0,827,Hoboken,1,APARTMENT,2700
1,1.0,2805,Hoboken,1901,APARTMENT,1750
1,1.0,750,Hoboken,1,APARTMENT,2799
2,1.5,1006,Hoboken,0,None,2600
1,1.0,733,Hoboken,0,None,1975
1,1.0,680,Hoboken,1,APARTMENT,1875
3,1.0,1000,Hoboken,1,APARTMENT,2850
1,1.5,895,Hoboken,2008,APARTMENT,3400
2,1.0,875,Hoboken,1,MULTI_FAMILY,3075
2,2.0,1150,Hoboken,1,APARTMENT,3799
1,1.0,850,Hoboken,1,APARTMENT,2999
2,2.0,1150,Hoboken,1,APARTMENT,3499
1,1.0,733,Hoboken,0,None,1700
1,1.0,750,Hoboken,1,APARTMENT,1800
3,2.0,1550,Hoboken,1,APARTMENT,4799
1,2.0,1250,Hoboken,1,APARTMENT,2695
0,1.0,640,Hoboken,1,APARTMENT,2200
1,1.0,800,Hoboken,1,APARTMENT,2300
3,2.0,1423,Hoboken,1,APARTMENT,5600
4,4.0,2050,Hoboken,1,APARTMENT,7499
1,1.0,733,Hoboken,0,None,1925
0,1.0,640,Hoboken,1,APARTMENT,2299
1,1.0,650,Hoboken,1950,APARTMENT,1800
2,1.0,750,Hoboken,1,APARTMENT,2650
2,1.5,1006,Hoboken,0,None,3195
3,1.0,1423,Hoboken,1,APARTMENT,3200
2,1.0,750,Hoboken,1930,APARTMENT,2700
1,1.0,733,Hoboken,0,None,1850
3,1.0,1423,Hoboken,1,APARTMENT,2850
1,1.0,611,Hoboken,1920,APARTMENT,2300
2,1.5,1006,Hoboken,0,None,2100
3,1.0,1200,Hoboken,1901,APARTMENT,2790
4,2.0,1450,Hoboken,2015,APARTMENT,4950
3,2.0,1980,Hoboken,2015,CONDO,10000
1,1.0,733,Hoboken,1,APARTMENT,2300
1,1.0,733,Hoboken,1,APARTMENT,2400
1,1.0,540,Hoboken,1,APARTMENT,2150
3,2.0,1200,Hoboken,1,APARTMENT,4000
1,1.0,733,Hoboken,1,APARTMENT,2700
1,1.0,733,Hoboken,1,APARTMENT,1925
1,1.0,700,Jersey City,1908,CONDO,1900
1,1.0,733,Hoboken,1,APARTMENT,2150
1,1.0,621,Hoboken,1901,CONDO,2500
2,1.0,1000,Hoboken,1,APARTMENT,2500
2,1.0,1100,Hoboken,1,APARTMENT,3200
3,1.5,1212,Hoboken,1,APARTMENT,3300
