bed,bath,square,city,price,year_built,home_type
2.0,2.0,1210.0,Hoboken,4350.0,1,APARTMENT
2.0,2.0,974.0,Hoboken,2850.0,1987,APARTMENT
2.0,1,1095,None,3965.0,,
1.0,1.0,817.0,Hoboken,2700.0,,
1.0,1.0,600.0,Hoboken,2400.0,,
1.0,1.0,740,Hoboken,1650.0,,
2.0,1.0,845,Hoboken,2400.0,1,APARTMENT
2.0,2.0,1167.0,Hoboken,4125.0,1,APARTMENT
4.0,2.0,1300.0,Hoboken,4000.0,1,APARTMENT
2.0,1.0,1013,Hoboken,2300.0,1,APARTMENT
1.0,1.0,600.0,Hoboken,1650.0,1,APARTMENT
2.0,2.0,1300.0,Hoboken,3400.0,1,APARTMENT
2.0,1.0,800.0,Hoboken,2600.0,1900,APARTMENT
2.0,2.0,625,Hoboken,2900.0,1,APARTMENT
1.0,1.0,750.0,Hoboken,2000.0,,
1.0,1.0,924,Hoboken,2100.0,1,APARTMENT
2.0,1.0,773,Hoboken,2700.0,1,APARTMENT
2.0,2.0,1084,Hoboken,3700.0,1,APARTMENT
2.0,1.0,546.0,Hoboken,2200.0,1901,CONDO
2.0,1.0,716,Hoboken,2850.0,,
1.0,1.0,700.0,Hoboken,1850.0,1,APARTMENT
2.0,1.0,765,Hoboken,2650.0,1,APARTMENT
1.0,1.0,953.0,Hoboken,2369.0,1,APARTMENT
1.0,1.0,744,Hoboken,2550.0,1,APARTMENT
1.0,1.0,802,Hoboken,1800.0,1,APARTMENT
1.0,1,1095,None,1650.0,,
3.0,1,1095,None,2800.0,,
1.0,1.0,800.0,HOBOKEN,2300.0,,
2.0,1.0,638,Hoboken,2675.0,,
2.0,1.0,846,Hoboken,2650.0,1,APARTMENT
2.0,1.0,585.0,Hoboken,2200.0,1901,APARTMENT
1.0,1.0,657,Hoboken,1650.0,,
1.0,1.0,600.0,Hoboken,2150.0,1,APARTMENT
1.0,1.0,607.0,Hoboken,2700.0,,
1.0,1.0,400.0,Hoboken,2275.0,1,MULTI_FAMILY
1.0,1.0,760.0,Hoboken,2500.0,2017,APARTMENT
2.0,2.0,1285.0,Hoboken,3750.0,2011,CONDO
2.0,1.0,788,Hoboken,2100.0,1,APARTMENT
1.0,1.0,600.0,HOBOKEN,2150.0,1920,APARTMENT
3.0,2.0,1310.0,Hoboken,4500.0,2000,APARTMENT
1.0,1.0,824,Hoboken,2300.0,1,APARTMENT
2.0,2.0,800.0,Hoboken,1995.0,1,APARTMENT
2.0,1.0,1040,Hoboken,1990.0,1,APARTMENT
2.0,1.0,834,Hoboken,1750.0,1,APARTMENT
1.0,1.0,630.0,HOBOKEN,2369.0,1900,APARTMENT
1.0,1.0,800.0,Hoboken,2800.0,1,APARTMENT
1.0,1.0,659,Hoboken,2200.0,,
0.0,1,1095,None,2600.0,,
1.0,1,1095,None,4200.0,,
1.0,1.0,740.0,Hoboken,2750.0,,
