zpid, address, city, state, postal_code, price, info, location, property_url, title, lat, lng
68303536,600 Hudson St APT 5B,HOBOKEN,NJ,07030,$2950/mo,1 bd  1 ba  972 sqft,600 Hudson St APT 5B Hoboken NJ,https://www.zillow.com/homedetails/600-Hudson-St-APT-5B-Hoboken-NJ-07030/68303536_zpid/,Condo for rent,40743423,-74027978
38885234,809 Park Ave # 3R,Hoboken,NJ,07030,$2300/mo,2 bds  1 ba  750 sqft,809 Park Ave # 3R Hoboken NJ,https://www.zillow.com/homedetails/809-Park-Ave-3R-Hoboken-NJ-07030/38885234_zpid/,Apartment for rent,40746832,-74030533
2111572212,624 Bloomfield St APT 2,Hoboken,NJ,07030,$2400/mo,1 bd  1 ba  900 sqft,624 Bloomfield St APT 2 Hoboken NJ,https://www.zillow.com/homedetails/624-Bloomfield-St-APT-2-Hoboken-NJ-07030/2111572212_zpid/,Apartment for rent,40744419,-74029951
2086298113,Jackson St,Hoboken,NJ,07030,$4700/mo,3 bds  2 ba  -- sqft,Jackson St Hoboken NJ,https://www.zillow.com/homedetails/Jackson-St-Hoboken-NJ-07030/2086298113_zpid/,Apartment for rent,40736420,-74041860
68014018,420 Monroe St APT 2R,Hoboken,NJ,07030,$2050/mo,1 bd  1 ba  603 sqft,420 Monroe St APT 2R Hoboken NJ,https://www.zillow.com/homedetails/420-Monroe-St-APT-2R-Hoboken-NJ-07030/68014018_zpid/,Condo for rent,40743161,-74038904
2086309029,728 Washington St # 2,Hoboken,NJ,07030,$3300/mo,4 bds  2 ba  1350 sqft,728 Washington St # 2 Hoboken NJ,https://www.zillow.com/homedetails/728-Washington-St-2-Hoboken-NJ-07030/2086309029_zpid/,Apartment for rent,40745641,-74028723
40.754363--74.030208,None,None,None,None,None,1 $3095 3 $4950+,1405 Clinton St Hoboken NJ,https://www.zillow.com/b/1405-Clinton-Street-Hoboken-NJ/40.754363-74.030208_ll/,1405 Clinton Street,40754363,-74030208
2086313704,1108 Washington St APT 4B,Hoboken,NJ,07030,$2000/mo,2 bds  1 ba  850 sqft,1108 Washington St APT 4B Hoboken NJ,https://www.zillow.com/homedetails/1108-Washington-St-APT-4B-Hoboken-NJ-07030/2086313704_zpid/,Apartment for rent,40750410,-74027276
2086313769,Jackson St,Hoboken,NJ,07030,$5000/mo,4 bds  2 ba  1900 sqft,Jackson St Hoboken NJ,https://www.zillow.com/homedetails/Jackson-St-Hoboken-NJ-07030/2086313769_zpid/,Apartment for rent,40736420,-74041860
2086316036,Jackson St,Hoboken,NJ,07030,$4600/mo,3 bds  2 ba  -- sqft,Jackson St Hoboken NJ,https://www.zillow.com/homedetails/Jackson-St-Hoboken-NJ-07030/2086316036_zpid/,Apartment for rent,40736420,-74041860
2099722535,520 Adams St # 2,Hoboken,NJ,07030,$2250/mo,2 bds  1 ba  1100 sqft,520 Adams St # 2 Hoboken NJ,https://www.zillow.com/homedetails/520-Adams-St-2-Hoboken-NJ-07030/2099722535_zpid/,Apartment for rent,40744082,-74035936
2105690948,403 Monroe St,Hoboken,NJ,07030,$2195/mo,2 bds  1 ba  550 sqft,403 Monroe St Hoboken NJ,https://www.zillow.com/homedetails/403-Monroe-St-Hoboken-NJ-07030/2105690948_zpid/,Apartment for rent,40742828,-74038761
2105302276,501 4th St,Hoboken,NJ,07030,$2750/mo,2 bds  1 ba  1000 sqft,501 4th St Hoboken NJ,https://www.zillow.com/homedetails/501-4th-St-Hoboken-NJ-07030/2105302276_zpid/,Apartment for rent,40742419,-74037309
2105457555,Marshall St,Hoboken,NJ,07030,$3000/mo,2 bds  2 ba  1100 sqft,Marshall St Hoboken NJ,https://www.zillow.com/homedetails/Marshall-St-Hoboken-NJ-07030/2105457555_zpid/,Apartment for rent,40739560,-74042890
