2019-03-06T15:49:31.752-0500 I NETWORK  [conn5] received client metadata from 127.0.0.1:57073 conn5: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.6.10" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "18.2.0" } }
2019-03-06T15:50:05.729-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57077 #6 (2 connections now open)
2019-03-06T15:50:05.730-0500 I NETWORK  [conn6] received client metadata from 127.0.0.1:57077 conn6: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T15:50:05.747-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57078 #7 (3 connections now open)
2019-03-06T15:50:05.747-0500 I NETWORK  [conn7] received client metadata from 127.0.0.1:57078 conn7: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T15:50:05.769-0500 I NETWORK  [conn7] end connection 127.0.0.1:57078 (2 connections now open)
2019-03-06T15:50:05.769-0500 I NETWORK  [conn6] end connection 127.0.0.1:57077 (1 connection now open)
2019-03-06T15:50:32.402-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57080 #8 (2 connections now open)
2019-03-06T15:50:32.405-0500 I NETWORK  [conn8] received client metadata from 127.0.0.1:57080 conn8: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T15:50:32.414-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57081 #9 (3 connections now open)
2019-03-06T15:50:32.416-0500 I NETWORK  [conn9] received client metadata from 127.0.0.1:57081 conn9: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T15:50:32.442-0500 I NETWORK  [conn9] end connection 127.0.0.1:57081 (2 connections now open)
2019-03-06T15:50:32.442-0500 I NETWORK  [conn8] end connection 127.0.0.1:57080 (1 connection now open)
2019-03-06T15:50:34.692-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57082 #10 (2 connections now open)
2019-03-06T15:50:34.694-0500 I NETWORK  [conn10] received client metadata from 127.0.0.1:57082 conn10: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T15:50:34.716-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57083 #11 (3 connections now open)
2019-03-06T15:50:34.720-0500 I NETWORK  [conn11] received client metadata from 127.0.0.1:57083 conn11: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T15:50:34.776-0500 I NETWORK  [conn11] end connection 127.0.0.1:57083 (2 connections now open)
2019-03-06T15:50:34.779-0500 I NETWORK  [conn10] end connection 127.0.0.1:57082 (1 connection now open)
2019-03-06T15:50:48.786-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57084 #12 (2 connections now open)
2019-03-06T15:50:48.789-0500 I NETWORK  [conn12] received client metadata from 127.0.0.1:57084 conn12: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T15:50:48.794-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57085 #13 (3 connections now open)
2019-03-06T15:50:48.796-0500 I NETWORK  [conn13] received client metadata from 127.0.0.1:57085 conn13: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T15:50:48.808-0500 I NETWORK  [conn13] end connection 127.0.0.1:57085 (2 connections now open)
2019-03-06T15:50:48.808-0500 I NETWORK  [conn12] end connection 127.0.0.1:57084 (1 connection now open)
2019-03-06T15:50:49.763-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57086 #14 (2 connections now open)
2019-03-06T15:50:49.765-0500 I NETWORK  [conn14] received client metadata from 127.0.0.1:57086 conn14: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T15:50:49.776-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57087 #15 (3 connections now open)
2019-03-06T15:50:49.779-0500 I NETWORK  [conn15] received client metadata from 127.0.0.1:57087 conn15: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T15:50:49.980-0500 I NETWORK  [conn15] end connection 127.0.0.1:57087 (2 connections now open)
2019-03-06T15:50:49.980-0500 I NETWORK  [conn14] end connection 127.0.0.1:57086 (1 connection now open)
2019-03-06T15:50:54.826-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57088 #16 (2 connections now open)
2019-03-06T15:50:54.828-0500 I NETWORK  [conn16] received client metadata from 127.0.0.1:57088 conn16: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T15:50:54.834-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57089 #17 (3 connections now open)
